country_id,name,iso_code,safety_index
150,Puerto Rico,PRI,0.510210991
151,"Korea, Dem. People's Rep.",PRK,-0.366169572
152,Portugal,PRT,0.712578118
153,Paraguay,PRY,0.082041629
154,West Bank and Gaza,PSE,-1.86521852
155,Qatar,QAT,0.993381143
156,Romania,ROU,0.373643965
157,Russian Federation,RUS,-1.134333849
158,Rwanda,RWA,0.108091474
159,Saudi Arabia,SAU,-0.21322453
160,Sudan,SDN,-2.466938972
161,Senegal,SEN,-0.138591379
162,Singapore,SGP,1.42420423
163,Solomon Islands,SLB,0.445870101
164,Sierra Leone,SLE,-0.238688722
165,El Salvador,SLV,0.0023324
166,San Marino,SMR,1.184979081
167,Somalia,SOM,-2.377600908
168,Serbia,SRB,-0.039109707
169,South Sudan,SSD,-2.186107874
170,Sao Tome and Principe,STP,0.440705031
171,Suriname,SUR,0.412738472
172,Slovak Republic,SVK,0.573219299
173,Slovenia,SVN,0.818632841
174,Sweden,SWE,0.758365273
175,Eswatini,SWZ,-0.357591271
176,Seychelles,SYC,0.763500512
177,Syrian Arab Republic,SYR,-2.750606775
178,Chad,TCD,-1.559462905
179,Togo,TGO,-0.954195142
180,Thailand,THA,-0.280302882
181,Tajikistan,TJK,-0.472821504
182,Turkmenistan,TKM,-0.111424536
183,Timor-Leste,TLS,0.260184526
184,Tonga,TON,1.087574005
185,Trinidad and Tobago,TTO,0.401362389
186,Tunisia,TUN,-0.630951107
187,Turkiye,TUR,-1.011080384
188,Tuvalu,TUV,1.189081907
189,Tanzania,TZA,-0.052751601
190,Uganda,UGA,-0.695506096
191,Ukraine,UKR,-1.429823399
192,Uruguay,URY,0.964887142
193,United States,USA,0.029424749
194,Uzbekistan,UZB,-0.154609963
195,St. Vincent and the Grenadines,VCT,1.018019199
196,"Venezuela, RB",VEN,-1.189028025
197,Virgin Islands (U.S.),VIR,0.534723103
198,Viet Nam,VNM,-0.036380734
199,Vanuatu,VUT,0.932254612
200,Samoa,WSM,1.0981884
201,Kosovo,XKX,-0.322511613
202,"Yemen, Rep.",YEM,-2.56293869
203,South Africa,ZAF,-0.665642023
204,Zambia,ZMB,0.201727286
205,Zimbabwe,ZWE,-0.934447467
